Пивоварня,Стиль,Плотность,Алкоголь,Горечь,Хмель,Начало выпуска,Рейтинг,Пиво,Солод,Производство,Подрядчик,Добавки,Ссылка
Bierbank,IPA - American,,"6,5%",40 IBU,"                                                                            Citra,                                                                             Mosaic                                                                        ",19.09.2023,"4,005",Drunk Bridge,,,,,https://your.beer/beer/bierbank-drunk-bridge
Bierbank,Pilsner - Czech / Bohemian,,"5,0%",25 IBU,                                                                            Saaz                                                                        ,18.10.2023,"3,899",Bright Future,                                                                            Pilsner                                                                        ,,,,https://your.beer/beer/bierbank-bright-future
Bierbank,IPA - American,,"6,7%",45 IBU,                                                                            BRU-1                                                                        ,24.10.2023,"3,996",Raise Your Glass!,,,,,https://your.beer/beer/bierbank-raise-your-glass
Bierbank,Lambic - Fruit,,"6,0%",,,19.09.2023,"4,427",Berry Cache,,,,,https://your.beer/beer/bierbank-berry-cache
"Bierbank, Spin Bar",Stout - Imperial / Double,,"6,8%",19 IBU,,24.11.2023,"4,179",Rise the Dark,,,,,https://your.beer/beer/bierbank-rise-the-dark
Bierbank,IPA - American,,"6,8%",60 IBU,"                                                                            Chinook,                                                                             Simcoe                                                                        ",10.01.2024,"4,124",Hard Therapy Session,,,,,https://your.beer/beer/bierbank-hard-therapy-session
Bierbank,IPA - Other,,"6,9%",50 IBU,                                                                            Chinook                                                                        ,27.12.2023,"4,144",Кружечка под ёлочкой IPA №5/2024,,,,                                                                            Juniper                                                                        ,https://your.beer/beer/bierbank-kruzhechka-pod-yolochkoj-5
Bierbank,IPA - American,,"6,4%",40 IBU,                                                                            Simcoe                                                                        ,29.08.2023,"3,842",Sunscape,,,,,https://your.beer/beer/bierbank-sunscape
Bierbank,IPA - American,,"6,5%",35 IBU,"                                                                            BRU-1,                                                                             Citra                                                                        ",31.10.2023,"3,857",Fantastic Beasts,,,,,https://your.beer/beer/bierbank-fantastic-beasts
Bierbank,IPA - American,,"6,7%",50 IBU,"                                                                            Mosaic,                                                                             Ekuanot                                                                        ",11.05.2023,"4,141",Lazy Evening,,,,,https://your.beer/beer/bierbank-lazy-evening
Bierbank,IPA - American,,"6,5%",45 IBU,"                                                                            Galaxy,                                                                             Citra                                                                        ",28.03.2023,"3,908",Surface,,,,,https://your.beer/beer/bierbank-surface
"Bierbank, Valaduta",IPA - New England / Hazy,,"5,3%",,,30.05.2023,"3,862",Luchstreet NEIPA,,,,,https://your.beer/beer/bierbank-luchstreet-neipa
"Bierbank, Spin Bar",Sour - Other Gose,,"4,7%",10 IBU,,25.03.2023,"3,916",Tomacho,,,,,https://your.beer/beer/bierbank-tomacho
Bierbank,IPA - American,,"6,8%",55 IBU,"                                                                            Chinook,                                                                             Elani                                                                        ",22.08.2023,"3,848",Old Memories,,,,,https://your.beer/beer/bierbank-old-memories
Bierbank,IPA - American,,"6,7%",55 IBU,"                                                                            Simcoe,                                                                             Sabro                                                                        ",07.03.2023,"3,839",Cosmic Travel,,,,,https://your.beer/beer/bierbank-cosmic-travel
Bierbank,IPA - American,,"6,3%",40 IBU,"                                                                            Mosaic,                                                                             Citra                                                                        ",26.04.2023,"4,113",Hanky Panky,,,,,https://your.beer/beer/bierbank-hanky-panky
"Bierbank, Valaduta",Sour - Other Gose,,"4,1%",8 IBU,,01.06.2023,"4,236",Tomato Factory,,,,,https://your.beer/beer/bierbank-tomato-factory
Bierbank,IPA - American,,"6,8%",40 IBU,                                                                            Simcoe                                                                        ,13.06.2023,"3,931",Live Resin,,,,,https://your.beer/beer/bierbank-live-resin
Bierbank,IPA - American,,"6,7%",40 IBU,"                                                                            Amarillo,                                                                             Mosaic                                                                        ",30.05.2023,"3,998",Break Room,,,,,https://your.beer/beer/bierbank-break-room
Bierbank,IPA - New England / Hazy,,"6,0%",30 IBU,                                                                            Simcoe                                                                        ,18.07.2023,"3,973",Misty Grove,,,,,https://your.beer/beer/bierbank-misty-grove
Bierbank,Pilsner - Other,,"5,1%",27 IBU,"                                                                            Centennial,                                                                             Chinook                                                                        ",18.04.2023,"3,817",Staycation,,,,,https://your.beer/beer/bierbank-staycation
Bierbank,IPA - American,,"6,8%",45 IBU,                                                                            Idaho Gem                                                                        ,15.08.2023,"3,913",Idaho Kiss,,,,,https://your.beer/beer/bierbank-idaho-kiss
Bierbank,Strong Ale - Other,,"6,8%",20 IBU,,21.03.2023,"4,105",Dirigible,,,,,https://your.beer/beer/bierbank-dirigible
Bierbank,IPA - American,,"6,8%",45 IBU,"                                                                            Citra,                                                                             Ekuanot                                                                        ",03.05.2023,"4,122",Fresh Chillout,,,,,https://your.beer/beer/bierbank-fresh-chillout
Bierbank,IPA - American,,"6,8%",50 IBU,"                                                                            Chinook,                                                                             Amarillo                                                                        ",25.07.2023,"3,805",Men's Mixture,,,,,https://your.beer/beer/bierbank-mens-mixture
Bierbank,IPA - American,,"6,7%",35 IBU,"                                                                            Amarillo,                                                                             Mosaic                                                                        ",01.08.2023,"3,794",Soft Haze,,,,,https://your.beer/beer/bierbank-soft-haze
Bierbank,IPA - American,,"6,8%",55 IBU,"                                                                            Huell Melon,                                                                             Amarillo                                                                        ",05.07.2023,"4,043",Timeless IPA,,,,,https://your.beer/beer/bierbank-timeless-ipa
Bierbank,IPA - American,,"6,3%",45 IBU,                                                                            Citra                                                                        ,11.07.2023,"4,138",Citra Bliss,,,,,https://your.beer/beer/bierbank-citra-bliss
Bierbank,IPA - American,,"6,7%",40 IBU,"                                                                            Amarillo,                                                                             Citra                                                                        ",27.06.2023,"4,095",Other You,,,,,https://your.beer/beer/bierbank-other-you
Bierbank,IPA - American,,"6,7%",55 IBU,,31.10.2022,"3,909",Пора по пиву,,,,,https://your.beer/beer/bierbank-pora-po-pivu
Bierbank,IPA - American,,"6,8%",45 IBU,"                                                                            Citra,                                                                             Simcoe                                                                        ",10.01.2023,"4,036",Timeshift,,,,,https://your.beer/beer/bierbank-timeshift
Bierbank,IPA - American,,"6,7%",60 IBU,"                                                                            Simcoe,                                                                             Ekuanot                                                                        ",03.10.2022,"4,013",Soothing You,,,,,https://your.beer/beer/bierbank-soothing-you
Bierbank,IPA - American,,"6,9%",50 IBU,"                                                                            El Dorado,                                                                             Ekuanot                                                                        ",25.01.2023,"3,89",Lie to Me,,,,,https://your.beer/beer/bierbank-lie-to-me
Bierbank,IPA - American,,"6,7%",55 IBU,"                                                                            Mosaic,                                                                             El Dorado                                                                        ",18.10.2022,"4,063",Lost Wish,,,,,https://your.beer/beer/bierbank-lost-wish
Bierbank,IPA - American,,"6,7%",50 IBU,"                                                                            Simcoe,                                                                             Citra                                                                        ",29.11.2022,"3,892",Silent Shout,,,,,https://your.beer/beer/bierbank-silent-shout
Bierbank,IPA - New England / Hazy,,"6,5%",35 IBU,                                                                            Ekuanot                                                                        ,19.12.2022,"4,05",Кружечка под ёлочкой IPA №4/2023,,,,,https://your.beer/beer/bierbank-kruzhechka-pod-yolochkoj-4
Bierbank,Stout - Russian Imperial,,"6,8%",40 IBU,,19.12.2022,"4,165",Grimoire,,,,,https://your.beer/beer/bierbank-grimoire
Bierbank,IPA - Triple,,"6,8%",75 IBU,                                                                            Galaxy                                                                        ,14.12.2022,"4,186",Allegoria,,,,,https://your.beer/beer/bierbank-allegoria
Bierbank,Pilsner - Czech / Bohemian,,"4,7%",25 IBU,                                                                            Saaz                                                                        ,15.02.2023,"3,708",Pilsner On Tap,                                                                            Pilsner                                                                        ,,,,https://your.beer/beer/bierbank-pilsner-on-tap
Bierbank,Strong Ale - Other,,"6,8%",20 IBU,,22.02.2023,"4,044",Wide Horison,,,,,https://your.beer/beer/bierbank-wide-horison
Bierbank,Belgian Tripel,,"6,9%",25 IBU,,30.09.2022,"4,05",Hiraeth,,,,,https://your.beer/beer/bierbank-hiraeth
Bierbank,IPA - American,,"6,8%",45 IBU,"                                                                            Galaxy,                                                                             Simcoe                                                                        ",15.11.2022,"3,878",Come Alive,,,,,https://your.beer/beer/bierbank-come-alive
Bierbank,Lager - IPL (India Pale Lager),,"5,7%",35 IBU,                                                                            Citra                                                                        ,28.09.2022,"4,021",Pathway,,,,,https://your.beer/beer/bierbank-pathway
Bierbank,IPA - American,,"6,8%",45 IBU,"                                                                            Galaxy,                                                                             Citra                                                                        ",14.02.2023,"4,085",Joyland,,,,,https://your.beer/beer/bierbank-joyland
"Bierbank, Spin Bar",Stout - Milk / Sweet,,"6,8%",10 IBU,,10.12.2022,"3,844",More Black Mass,,,,                                                                            Lactose                                                                        ,https://your.beer/beer/bierbank-more-black-mass
Bierbank,Strong Ale - American,,"6,8%",22 IBU,,24.10.2022,"4,043",Woodcutter,,,,,https://your.beer/beer/bierbank-woodcutter
Bierbank,IPA - American,,"6,3%",45 IBU,"                                                                            Simcoe,                                                                             El Dorado                                                                        ",09.08.2022,"4,168",Seed Bead,,,,,https://your.beer/beer/bierbank-seed-bead
Bierbank,IPA - American,,"6,6%",40 IBU,                                                                            Citra                                                                        ,17.08.2022,"4,134",Evidence,,,,,https://your.beer/beer/bierbank-evidence
Bierbank,IPA - American,,"6,8%",55 IBU,"                                                                            Simcoe,                                                                             El Dorado                                                                        ",24.08.2022,"4,004",Just Breathe,,,,,https://your.beer/beer/bierbank-just-breathe
Bierbank,IPA - American,,"6,3%",40 IBU,"                                                                            Citra,                                                                             Simcoe                                                                        ",01.03.2022,"4,016",Commotion,,,,,https://your.beer/beer/bierbank-commotion
Bierbank,Honey Beer,,"5,4%",20 IBU,,23.02.2022,"3,679",Honey Puzzle,,,,                                                                            Honey                                                                        ,https://your.beer/beer/bierbank-honey-puzzle
"Bierbank, Carousel Brewery",Sour - Other Gose,,"4,1%",7 IBU,,26.03.2022,"4,214",Mushroom Carousel,,,,,https://your.beer/beer/bierbank-mushroom-carousel
Bierbank,Wheat Beer - Hefeweizen,,"6,3%",10 IBU,,12.01.2022,"3,487",Single Player Game,,,,,https://your.beer/beer/bierbank-single-player-game
Bierbank,IPA - American,,"6,5%",40 IBU,"                                                                            Sabro,                                                                             Mosaic,                                                                             Chinook                                                                        ",29.03.2022,"4,11",Blooming Rabbits,,,,,https://your.beer/beer/bierbank-blooming-rabbits
Bierbank,Lager - IPL (India Pale Lager),,"5,5%",30 IBU,"                                                                            Simcoe,                                                                             Citra                                                                        ",10.01.2022,"4,095",Desolate Island,,,,,https://your.beer/beer/bierbank-desolate-island
Bierbank,IPA - American,,"6,5%",50 IBU,"                                                                            Citra,                                                                             Mosaic                                                                        ",08.06.2022,"4,253",Time is Up,,,,,https://your.beer/beer/bierbank-time-is-up
Bierbank,IPA - Triple,,"6,8%",80 IBU,"                                                                            Simcoe,                                                                             Cascade,                                                                             Mosaic                                                                        ",17.05.2022,"4,384",Cute Killer,,,,,https://your.beer/beer/bierbank-cute-killer
Bierbank,IPA - American,,"6,7%",45 IBU,                                                                            Ekuanot                                                                        ,12.07.2022,"3,89",Balderdash,,,,,https://your.beer/beer/bierbank-balderdash
Bierbank,IPA - Milkshake,,"6,2%",25 IBU,"                                                                            Ekuanot,                                                                             Huell Melon                                                                        ",01.06.2022,"3,724",Milkshake IPA Pineapple & Vanilla,,                                        постоянный выпуск                                     ,,"                                                                            Pineapple,                                                                             Vanilla                                                                        ",https://your.beer/beer/bierbank-ipa-pineapple-vanilla
Bierbank,Wild Ale - Other,,"6,4%",,,30.06.2022,"4,219",Wild Man: Blend 1,,,,,https://your.beer/beer/bierbank-wild-man-blend-1
Bierbank,Strong Ale - Other,,"6,8%",35 IBU,,25.05.2022,"4,279",Strong Daddy,,,,,https://your.beer/beer/bierbank-strong-daddy
Bierbank,IPA - American,,"6,8%",55 IBU,"                                                                            Mosaic,                                                                             Idaho 7                                                                        ",21.06.2022,"4,265",Ailurophile,,,,,https://your.beer/beer/bierbank-ailurophile
Bierbank,IPA - Brut,,"6,2%",35 IBU,"                                                                            Sabro,                                                                             Mosaic                                                                        ",29.12.2021,"4,024",Кружечка под ёлочкой IPA №3/2022,,,,,https://your.beer/beer/bierbank-kruzhechka-pod-yolochkoj-3
Bierbank,Lager - IPL (India Pale Lager),,"5,4%",30 IBU,"                                                                            Mosaic,                                                                             Citra                                                                        ",04.05.2022,"4,265",Restles Hamsters,,,,,https://your.beer/beer/bierbank-restles-humsters
Bierbank,Wild Ale - Other,,"6,8%",40 IBU,"                                                                            Sabro,                                                                             Cascade                                                                        ",30.06.2022,"4,219",Wild Man: Blend 2,,,,,https://your.beer/beer/bierbank-wild-man-blend-2
Bierbank,IPA - American,,"5,8%",40 IBU,"                                                                            Amarillo,                                                                             Citra,                                                                             Mosaic                                                                        ",18.01.2022,"4,074",Tranquility,,,,,https://your.beer/beer/bierbank-tranquility
Bierbank,Strong Ale - American,,"6,9%",40 IBU,"                                                                            Chinook,                                                                             Mosaic                                                                        ",08.02.2022,"4,3",Aerostat,,,,,https://your.beer/beer/bierbank-aerostat
Bierbank,Brown Ale - Other,,"5,8%",22 IBU,,10.03.2022,"3,869",False Times,,,,,https://your.beer/beer/bierbank-false-times
Bierbank,IPA - American,,"6,4%",55 IBU,"                                                                            Mosaic,                                                                             Huell Melon                                                                        ",10.05.2022,"4,073",Inferior Games,,,,,https://your.beer/beer/bierbank-inferior-games
Bierbank,IPA - American,,"5,3%",40 IBU,"                                                                            Sabro,                                                                             Cascade                                                                        ",18.08.2021,"3,777",Social Lube⁶: Sabro • Cascade,,,,,https://your.beer/beer/bierbank-social-lube6-sabro-cascade
Bierbank,IPA - Imperial / Double,,"6,9%",80 IBU,"                                                                            Chinook,                                                                             Amarillo,                                                                             Mosaic,                                                                             Simcoe                                                                        ",25.09.2021,"4,066",Hi! I’m Anton! (DIPA),,,,,https://your.beer/beer/bierbank-hi-im-anton-dipa
Bierbank,Pumpkin / Yam Beer,,"6,0%",5 IBU,,26.10.2021,"3,836",Bogeyman,,,,,https://your.beer/beer/bierbank-bogeyman
Bierbank,Lambic - Fruit,,"6,7%",,,25.09.2021,"4,055",Pop My Cherry (Barrel Aged Lambic),,,,,https://your.beer/beer/bierbank-pop-my-cherry-barrel-aged-lambic
"Bierbank, Carousel Brewery",Stout - Milk / Sweet,,"6,0%",10 IBU,,24.11.2021,"4,029",Black Mass,,,,                                                                            Lactose                                                                        ,https://your.beer/beer/bierbank-black-mass
Bierbank,IPA - American,,"5,6%",45 IBU,"                                                                            Amarillo,                                                                             Enigma                                                                        ",25.08.2021,"3,694",Last Week,,,,,https://your.beer/beer/bierbank-last-week
Bierbank,IPA - Session,,"4,9%",45 IBU,"                                                                            Mosaic,                                                                             Huell Melon                                                                        ",27.07.2021,"3,906",Social Lube⁵: Mosaic • Melon Lupomax,,,,,https://your.beer/beer/bierbank-social-lube5-mosaic-melon-lupomax
Bierbank,IPA - American,,"6,3%",50 IBU,"                                                                            Simcoe,                                                                             Citra,                                                                             Chinook                                                                        ",15.11.2021,"4,155",Stroppy IPA,,,,,https://your.beer/beer/bierbank-stroppy-ipa
Bierbank,Sour - Fruited,,"4,2%",5 IBU,,21.07.2021,"3,8",Freshman Lemon,,,,                                                                            Lemon                                                                        ,https://your.beer/beer/bierbank-freshman-lemon
Bierbank,IPA - Triple,,"6,8%",70 IBU,                                                                            Idaho 7                                                                        ,22.12.2021,"4,234",Иллюзия независимого радио,,,,,https://your.beer/beer/bierbank-illyuziya-nezavisimogo-radio
Bierbank,Lambic - Fruit,,"6,0%",,,25.09.2021,"4,071",Pop My Berry (Barrel Aged Lambic),,,,,https://your.beer/beer/bierbank-pop-my-berry-barrel-aged-lambic
Bierbank,IPA - American,,"6,2%",35 IBU,"                                                                            El Dorado,                                                                             Chinook,                                                                             Huell Melon                                                                        ",07.12.2021,"3,988",#Technocamping,,,,,https://your.beer/beer/bierbank-technocamping
Bierbank,IPA - American,,"6,2%",30 IBU,"                                                                            Enigma,                                                                             Citra,                                                                             Huell Melon                                                                        ",13.10.2021,"3,921",Mushy Mango,,,,                                                                            Mango                                                                        ,https://your.beer/beer/bierbank-mushy-mango
Bierbank,Sour - Traditional Gose,,"3,8%",4 IBU,,03.09.2021,"4,221",The Good Doctor. Tom Yum,,,,,https://your.beer/beer/bierbank-the-good-doctor-tom-yum
Bierbank,Lambic - Fruit,,"6,0%",,,25.09.2021,"4,105",Pop My Plum (Barrel Aged Lambic),,,,,https://your.beer/beer/bierbank-pop-my-plum-barrel-aged-lambic
Bierbank,Pale Ale - New England / Hazy,,"5,0%",20 IBU,"                                                                            Citra,                                                                             Talus                                                                        ",23.11.2021,"3,97",HI! I’m Anna!,,,,,https://your.beer/beer/bierbank-hi-i-m-anna
Bierbank,Sour - Berliner Weisse,,"3,8%",4 IBU,,10.08.2021,"3,813",The Good Doctor Mr. Berliner,,,,,https://your.beer/beer/bierbank-the-good-doctor-mr-berliner
Bierbank,Sour - Fruited,,"4,7%",10 IBU,,03.12.2021,"4,665",No Way Out,,,,"                                                                            Mango,                                                                             Passion fruit,                                                                             Blueberry                                                                        ",https://your.beer/beer/bierbank-no-way-out
Bierbank,IPA - American,,"6,7%",65 IBU,"                                                                            Amarillo,                                                                             Mosaic,                                                                             Huell Melon                                                                        ",26.10.2021,"3,866",The Pedestrian,,,,,https://your.beer/beer/bierbank-the-pedestrian
"Bierbank, Valaduta",IPA - New England / Hazy,,"6,7%",30 IBU,"                                                                            Mosaic,                                                                             Citra                                                                        ",25.09.2021,"4,014",Vulitsa Ezha NEIPA,"                                                                            Pilsner,                                                                             Flaked Oats,                                                                             Flaked Wheat                                                                        ",,,,https://your.beer/beer/bierbank-vulitsa-ezha-neipa
Bierbank,IPA - Imperial / Double,"18,0%","6,8%",50 IBU,"                                                                            Ekuanot,                                                                             Simcoe                                                                        ",25.03.2021,"3,899",Double Gumball,,,,,https://your.beer/beer/bierbank-double-gumball
Bierbank,IPA - American,,"6,2%",45 IBU,"                                                                            Simcoe,                                                                             Amarillo                                                                        ",02.03.2021,"3,872",Spring Scream,,,,,https://your.beer/beer/bierbank-spring-scream
Bierbank,Porter - Other,,"6,8%",17 IBU,,09.02.2021,"3,676",A Piece of Cake,,,,,https://your.beer/beer/bierbank-a-piece-of-cake
Bierbank,IPA - American,,"6,8%",55 IBU,                                                                            Ella                                                                        ,17.05.2021,"3,628",My Single Ella,,,,,https://your.beer/beer/bierbank-my-single-ella
Bierbank,IPA - American,,"6,5%",55 IBU,"                                                                            Simcoe,                                                                             Ekuanot                                                                        ",23.06.2021,"3,881",Social Lube³: Simcoe • Ekuanot,,,,,https://your.beer/beer/bierbank-social-lube3-simcoe-ekuanot
Bierbank,IPA - American,,"6,4%",40 IBU,                                                                            Amarillo                                                                        ,17.12.2020,"3,812",Amarillo’s Single Hooligan,,,,,https://your.beer/beer/bierbank-amarillos-single-hooligan
Bierbank,IPA - New England / Hazy,,"6,8%",40 IBU,"                                                                            Vic Secret,                                                                             Ekuanot                                                                        ",16.06.2021,"3,741",Social Lube: Vic Secret • Ekuanot,,,,,https://your.beer/beer/bierbank-social-lube-vic-secret-ekuanot
Bierbank,IPA - Other,,"6,7%",50 IBU,                                                                            Sorachi Ace                                                                        ,16.02.2021,"3,746",Rising Sun,,,,                                                                            Chili                                                                        ,https://your.beer/beer/bierbank-rising-sun
Bierbank,IPA - American,,"6,7%",45 IBU,"                                                                            Citra,                                                                             Mosaic                                                                        ",26.05.2021,"4,02",Social Lube: Citra • Mosaic,,,,,https://your.beer/beer/bierbank-social-lube-citra-mosaic
Bierbank,IPA - Brut,,"6,8%",33 IBU,"                                                                            Simcoe,                                                                             Huell Melon                                                                        ",03.12.2020,"3,95",Hop Desert,,,,,https://your.beer/beer/bierbank-hop-desert
Bierbank,IPA - American,,"6,2%",40 IBU,"                                                                            Citra,                                                                             Simcoe                                                                        ",06.07.2021,"3,908",Social Lube⁴: Citra • Simcoe,,,,,https://your.beer/beer/bierbank-social-lube4-citra-simcoe
Bierbank,IPA - New England / Hazy,,"6,5%",35 IBU,"                                                                            Amarillo,                                                                             Mosaic                                                                        ",04.01.2021,"3,617",Кружечка под ёлочкой IPA №2/2021,,,,,https://your.beer/beer/bierbank-kruzhechka-pod-yolochkoj-2
Bierbank,Sour - Fruited,,"4,8%",10 IBU,,23.12.2020,"3,691",Summer Fling,,,,"                                                                            Sea buckthorn,                                                                             Orange                                                                        ",https://your.beer/beer/bierbank-summer-fling
Bierbank,IPA - American,,"6,5%",50 IBU,"                                                                            Simcoe,                                                                             Ekuanot                                                                        ",27.04.2021,"3,883",Sod’s Law,,,,,https://your.beer/beer/bierbank-sods-law
Bierbank,IPA - New England / Hazy,,"6,3%",32 IBU,"                                                                            Galaxy,                                                                             Idaho 7                                                                        ",02.02.2021,"3,826",Hop’s Endless Love,,,,,https://your.beer/beer/bierbank-hops-endless-love
Bierbank,Brown Ale - Other,,"6,9%",17 IBU,,20.11.2020,"3,516",Keep Warm!,,,,,https://your.beer/beer/bierbank-keep-warm
Bierbank,Pilsner - Other,,"5,6%",25 IBU,,29.12.2020,"3,67",Chin Up!,,,,,https://your.beer/beer/bierbank-chin-up
Bierbank,Sour - Other,,"5,5%",10 IBU,,10.04.2021,"4,185",Bierbank Secret Sour,,,,,https://your.beer/beer/bierbank-secret-sour
Bierbank,IPA - American,,"6,2%",45 IBU,"                                                                            Simcoe,                                                                             Ekuanot,                                                                             Amarillo                                                                        ",08.04.2021,"3,858",Defocus Summer,,,,,https://your.beer/beer/bierbank-defocus-summer
Bierbank,Sour - Traditional Gose,"12,0%","4,8%",11 IBU,,15.12.2020,"4,101",Tonnellata Di Peperonni,,,,"                                                                            Tomato,                                                                             Basil,                                                                             Oregano,                                                                             Garlic,                                                                             Himalayan Salt,                                                                             Chili,                                                                             Red Pepper                                                                        ",https://your.beer/beer/bierbank-tonnellata-di-peperonni
Bierbank,Sour - Fruited,,"4,9%",5 IBU,,12.08.2020,"3,664",Violet Bear,,,,,https://your.beer/beer/bierbank-violet-bear
Bierbank,IPA - Other,,"6,4%",50 IBU,"                                                                            Amarillo,                                                                             Fantasia                                                                        ",23.07.2020,"3,859",Episode #12 IPA,,,,,https://your.beer/beer/bierbank-episode-12-ipa
Bierbank,IPA - Milkshake,,"6,9%",25 IBU,,29.10.2020,"3,819",Milky Melon,,,,                                                                            Melon                                                                        ,https://your.beer/beer/bierbank-milky-melon
Bierbank,IPA - American,,"6,7%",55 IBU,"                                                                            Simcoe,                                                                             Mosaic                                                                        ",08.10.2020,"3,983",Indian Summer,,,,,https://your.beer/beer/bierbank-indian-summer
Bierbank,IPA - American,,"6,4%",50 IBU,"                                                                            El Dorado,                                                                             Mosaic,                                                                             Citra                                                                        ",17.09.2020,"3,909",A Little More,,,,,https://your.beer/beer/bierbank-a-little-more
Bierbank,IPA - Imperial / Double,"18,0%","6,8%",99 IBU,,28.05.2020,"4,091",Direct Aggression,,,,,https://your.beer/beer/bierbank-direct-aggression
"Bierbank, Polka Dot Brewery",Lambic - Fruit,,"6,0%",,,10.09.2020,"3,874",Pop My Plum (Lambic) ,,,,                                                                            Plum                                                                        ,https://your.beer/beer/bierbank-polka-dot-pop-my-plum-lambic
Bierbank,Pale Ale - American,,"4,8%",35 IBU,                                                                            Amarillo                                                                        ,01.10.2020,"3,78",Break Free,,,,,https://your.beer/beer/bierbank-break-free
Bierbank,IPA - American,"15,0%","6,9%",40 IBU,,11.06.2020,"2,821",Tochno IPA,,,,,https://your.beer/beer/bierbank-tochno-ipa
Bierbank,Pumpkin / Yam Beer,,"6,8%",17 IBU,,22.10.2020,"3,67",Scarecrow,,,,"                                                                            Cinnamon,                                                                             Pumpkin                                                                        ",https://your.beer/beer/bierbank-scarecrow
Bierbank,IPA - American,,"6,5%",50 IBU,"                                                                            Amarillo,                                                                             Galaxy                                                                        ",20.08.2020,"3,855",District #14 IPA,,,,,https://your.beer/beer/bierbank-district-14-ipa
Bierbank,Fruit Beer,,"4,3%",12 IBU,,24.09.2020,"3,943",Условный рефлекс,,,,                                                                            Lemon                                                                        ,https://your.beer/beer/bierbank-uslovnyj-refleks
Bierbank,IPA - American,,"6,5%",55 IBU,"                                                                            Mosaic,                                                                             Citra                                                                        ",06.08.2020,"3,903",No Fear IPA #13,,,,,https://your.beer/beer/bierbank-no-fear-ipa-13
Bierbank,IPA - Other,,"6,5%",40 IBU,,09.07.2020,"3,738",Yeezy IPA 11.0,,,,,https://your.beer/beer/bierbank-yeezy-ipa-11-0
Bierbank,IPA - Other,,"6,7%",55 IBU,"                                                                            Galaxy,                                                                             Mosaic,                                                                             Citra                                                                        ",01.09.2020,"3,949",Changes!,,,,,https://your.beer/beer/bierbank-changes
Bierbank,Porter - Other,,"6,8%",20 IBU,,05.11.2020,"3,803",Leviathan,,,,,https://your.beer/beer/bierbank-leviathan
Bierbank,Sour - Fruited,,"4,8%",5 IBU,,17.07.2020,"3,602",Pink Bear,,,,                                                                            Raspberry                                                                        ,https://your.beer/beer/bierbank-pink-bear
Bierbank,IPA - Imperial / Double,,"6,8%",110 IBU,,02.07.2020,"4,098",Crocodile Hops Tears,,,,,https://your.beer/beer/bierbank-crocodile-hops-tears
Bierbank,IPA - American,,"6,7%",50 IBU,"                                                                            Citra,                                                                             Mosaic,                                                                             Amarillo                                                                        ",11.11.2020,"3,999",No Adulting Today,,,,,https://your.beer/beer/bierbank-no-adulting-today
Bierbank,Sour - Other,,"5,3%",18 IBU,,26.06.2020,"3,718",Friday's Sour Wave,,,,,https://your.beer/beer/bierbank-fridays-sour-wave
Bierbank,Red Ale - Other,,"6,0%",25 IBU,,24.01.2020,"3,809",Люди,,,,"                                                                            Chili,                                                                             Jalapeno                                                                        ",https://your.beer/beer/bierbank-ludi
Bierbank,IPA - American,"15,3%","6,0%",55 IBU,"                                                                            Mosaic,                                                                             Citra,                                                                             TNT                                                                        ",16.10.2019,"3,735",IPA 3.0,,,,,https://your.beer/beer/bierbank-ipa-3
Bierbank,IPA - American,"15,0%","6,5%",65 IBU,,26.12.2019,"3,814",IPA Jamaica 5.0,,,,,https://your.beer/beer/bierbank-ipa-jamaica-5-0
"Bierbank, Polka Dot Brewery",Sour - Fruited,"19,0%","6,8%",15 IBU,,12.03.2020,"3,769",Freak Orange,,,,"                                                                            Orange,                                                                             Coffee                                                                        ",https://your.beer/beer/bierbank-polka-dot-freak-orange
Bierbank,Other,"19,5%","6,8%",25 IBU,,03.12.2019,"3,683",LAB №18: Панамская болезнь,,,,,https://your.beer/beer/bierbank-lab-18-panamskaya-bolezn
Bierbank,Other,"16,0%","6,5%",15 IBU,,26.12.2019,"3,127",LAB №20: Новогодний беспредел,,,,,https://your.beer/beer/bierbank-lab-20-novogodnij-bespredel
Bierbank,IPA - American,,"6,6%",50 IBU,"                                                                            Galaxy,                                                                             Mosaic                                                                        ",30.04.2020,"3,89",IPA 8 Mile,,,,,https://your.beer/beer/bierbank-ipa-8-mile
Bierbank,IPA - Brut,,"6,5%",35 IBU,,22.05.2020,"3,841",IPA 9 1/2 Weeks,,,,,https://your.beer/beer/bierbank-ipa-9-1-2-weeks
"Bierbank, Punchiller",IPA - Imperial / Double,,"6,8%",70 IBU,,28.02.2020,"4,235",Faithless Mind,,,,,https://your.beer/beer/bierbank-punchiller-faithless-mind
Bierbank,IPA - American,,"6,0%",60 IBU,"                                                                            El Dorado,                                                                             Galaxy,                                                                             Azacca,                                                                             Vic Secret,                                                                             Cascade,                                                                             Chinook                                                                        ",19.02.2020,"3,848",IPA Палата № 6.0,,,,,https://your.beer/beer/bierbank-ipa-palata-6-0
Bierbank,Other,"12,5%","5,0%",35 IBU,,26.12.2019,"3,643",LAB №19: Новогодний стих,,,,,https://your.beer/beer/bierbank-lab-19-novogodnij-stih
Bierbank,IPA - New England / Hazy,,"6,9%",45 IBU,"                                                                            El Dorado,                                                                             Enigma                                                                        ",07.04.2020,"3,831",NE GRIPA,,,,"                                                                            Mango,                                                                             Passion fruit                                                                        ",https://your.beer/beer/bierbank-ne-gripa
